Model,Geo,R²,MAPE (%),Bias,SRMSE,Durbin-Watson,Braço
PyMC-Marketing - nutpie,national,0.9749,3.43,-50.0508,0.0415,0.696,Braço 1: PyMC Baseline
Meridian,geo_a,0.991100013256073,2.0299999713897705,5.266200065612793,0.024700000882148743,1.0950000286102295,Braço 2: Meridian Baseline
PyMC-Marketing - nutpie,national,0.9741,3.52,-55.992,0.0422,0.72,Braço 3: PyMC + CD-NOTS
Meridian,geo_a,0.9886999726295471,2.299999952316284,-7.979300022125244,0.027899999171495438,0.9559999704360962,Braço 4: Meridian + CD-NOTS
