Braço                      , R² (fit)          , MAPE % (fit)       , sRMSE (contrib), MAPE % (contrib), ESS mín, ESS q50, SHD grafo, F1 grafo, Runtime (s), CD-NOTS
Braço 1: PyMC Baseline     , 0.7843            , 10.27              ,          1.1415,            85.44,   121.0,   554.0,          ,         ,       420.8, Não
Braço 2: Meridian Baseline , 0.983299970626831 ,  2.7300000190734863,          0.4395,            45.38,   128.0,   135.0,          ,         ,       655.8, Não
Braço 3: PyMC + CD-NOTS    , 0.7895            , 10.27              ,          1.1119,            80.74,  1046.0,  4257.0,       3.0,      0.8,      1724.2, Sim
Braço 4: Meridian + CD-NOTS, 0.9815999865531921,  2.799999952316284 ,          0.4164,            45.83,  1599.0,  1649.0,       3.0,      0.8,       898.1, Sim
