Model,Geo,R²,MAPE (%),Bias,SRMSE,Durbin-Watson,Braço
PyMC-Marketing - nutpie,national,0.7843,10.27,-30.6175,0.1138,0.179,Braço 1: PyMC Baseline
Meridian,geo_a,0.983299970626831,2.7300000190734863,1.2022000551223755,0.031599998474121094,0.49000000953674316,Braço 2: Meridian Baseline
PyMC-Marketing - nutpie,national,0.7895,10.27,-12.9177,0.1124,0.161,Braço 3: PyMC + CD-NOTS
Meridian,geo_a,0.9815999865531921,2.799999952316284,3.4909000396728516,0.03319999948143959,0.5120000243186951,Braço 4: Meridian + CD-NOTS
