Model,Geo,R²,MAPE (%),Bias,SRMSE,Durbin-Watson,Braço
PyMC-Marketing - nutpie,national,0.9749,3.43,-50.0508,0.0415,0.696,Braço 1: PyMC Baseline
Meridian,geo_a,0.991100013256073,2.0299999713897705,5.266200065612793,0.024700000882148743,1.0950000286102295,Braço 2: Meridian Baseline
PyMC-Marketing - nutpie,national,0.9765,3.4,7.4505,0.0402,0.703,Braço 3: PyMC + CD-NOTS
Meridian,geo_a,0.9919999837875366,1.9299999475479126,21.51219940185547,0.023499999195337296,1.1419999599456787,Braço 4: Meridian + CD-NOTS
