Braço                      , R² (fit)          , MAPE % (fit)      , sRMSE (contrib), MAPE % (contrib), ESS mín, ESS q50, SHD grafo, F1 grafo, Runtime (s), CD-NOTS
Braço 1: PyMC Baseline     , 0.9737            , 3.6               ,          1.8256,           377.73,    66.0,   718.0,          ,         ,      1469.9, Não
Braço 2: Meridian Baseline , 0.9872999787330627, 2.5               ,          0.7375,            64.31,   115.0,   128.0,          ,         ,       472.2, Não
Braço 3: PyMC + CD-NOTS    , 0.9741            , 3.55              ,          1.7823,           297.19,    14.0,   588.0,      77.0,   0.2222,      1065.6, Sim
Braço 4: Meridian + CD-NOTS, 0.9793999791145325, 3.3299999237060547,          0.885 ,           103.31,   108.0,   166.0,      77.0,   0.2222,       404.3, Sim
