preset,algorithm,precision,recall,f1,fdr,shd,tp,fp,fn,tn,runtime_seconds
causal_business,granger,0.7999999984,0.7999999984,0.7999999934,0.1999999996,2,4,1,1,14,0.0680990600012592
causal_business,pcmci_cmiknn,0.9999999900000002,0.1999999996,0.33333332944444444,0.0,4,1,0,4,15,224.58924585199566
causal_business,cedar,0.0,0.0,0.0,0.0,5,0,0,5,15,8.313874239996949
causal_business,dynotears,0.28571428551020406,0.7999999984,0.4210526272576178,0.7142857137755102,11,4,10,1,5,0.135293952000211
causal_large,granger,0.7499999981250001,0.23076923059171597,0.35294117245674744,0.249999999375,11,3,1,10,96,0.3698117590029142
causal_large,pcmci_cmiknn,0.2727272724793388,0.23076923059171597,0.249999994826389,0.7272727266115702,18,3,8,10,89,2050.249545910003
causal_large,cedar,0.0,0.0,0.0,0.0,13,0,0,13,97,187.85792289699748
causal_large,dynotears,0.07575757574609734,0.3846153843195266,0.12658227569940722,0.9242424241023875,69,5,61,8,36,0.013192803999118041
