run_id,timestamp,phase,preset,task_type,spec_version,seed_data,seed_algo,algorithm,ci_test,alpha,max_lag,tau_min,stratum,tp,fp,fn,tn,precision,recall,f1,fdr,shd,recall_ceiling,max_abs_corr_channels,median_abs_corr_channels,condition_number,varsortability_raw,varsortability_z,pct_zero_spend,mean_r2_partial_edges,n_channels,n_controls,n_ghosts,n_periods,n_true_edges,runtime_seconds
e86f5f28,2026-09-04T17:52:18.212551,exploratory,causal_business,preset,v1_legacy,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,overall,1,9,8,54,0.1,0.1111111111111111,0.10526315789473685,0.9,17,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3216.0103506670002
e86f5f28,2026-09-04T17:52:18.212596,exploratory,causal_business,preset,v1_legacy,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,channel_to_y,0,0,6,0,,0.0,,,6,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3216.0103506670002
e86f5f28,2026-09-04T17:52:18.212612,exploratory,causal_business,preset,v1_legacy,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,ghost_to_y,0,0,0,2,,,,,0,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3216.0103506670002
e86f5f28,2026-09-04T17:52:18.212624,exploratory,causal_business,preset,v1_legacy,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,channel_to_channel,1,9,2,44,0.1,0.3333333333333333,0.15384615384615383,0.9,11,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3216.0103506670002
9ac59c64,2026-09-04T17:52:21.506144,exploratory,causal_business,preset,v1_legacy,2025,2025,lpcmci,lpcmci,0.05,3,1,overall,1,5,8,58,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.8333333333333334,13,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3.292996948999644
9ac59c64,2026-09-04T17:52:21.506188,exploratory,causal_business,preset,v1_legacy,2025,2025,lpcmci,lpcmci,0.05,3,1,channel_to_y,0,0,6,0,,0.0,,,6,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3.292996948999644
9ac59c64,2026-09-04T17:52:21.506209,exploratory,causal_business,preset,v1_legacy,2025,2025,lpcmci,lpcmci,0.05,3,1,ghost_to_y,0,1,0,1,0.0,,,1.0,1,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3.292996948999644
9ac59c64,2026-09-04T17:52:21.506220,exploratory,causal_business,preset,v1_legacy,2025,2025,lpcmci,lpcmci,0.05,3,1,channel_to_channel,1,4,2,49,0.2,0.3333333333333333,0.25,0.8,6,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,3.292996948999644
3a055896,2026-09-04T18:31:45.448281,exploratory,causal_business,preset,v1_legacy,2025,2025,cdnots,cdnots,0.05,3,1,overall,2,1,7,62,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,8,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,1944.2986563159993
3a055896,2026-09-04T18:31:45.448325,exploratory,causal_business,preset,v1_legacy,2025,2025,cdnots,cdnots,0.05,3,1,channel_to_y,1,0,5,0,1.0,0.16666666666666666,0.2857142857142857,0.0,5,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,1944.2986563159993
3a055896,2026-09-04T18:31:45.448338,exploratory,causal_business,preset,v1_legacy,2025,2025,cdnots,cdnots,0.05,3,1,ghost_to_y,0,0,0,2,,,,,0,1.0,0.8665277645050369,0.10630621142485064,4.435450025594812,0.7777777777777778,0.6666666666666666,0.24599358974358973,0.2953321802982507,8,1,2,156,9,1944.2986563159993
