Dataset,Model,Channel,Region,Bias,SRMSE,R²,MAPE (%),Braço
small_business,PyMC-Marketing - nutpie,x1_Search-Ads,Local,-38.31911282093571,0.12511668336771448,0.9884086300707958,12.444545463869169,Braço 1: PyMC Baseline
small_business,PyMC-Marketing - nutpie,x2_Social-Media,Local,11.105888982791999,0.22647894793090148,0.9896339041235739,4678.341105612355,Braço 1: PyMC Baseline
small_business,PyMC-Marketing - nutpie,x3_Local-Ads,Local,-124.85194215287835,0.23425387901031,0.9215370202211848,23.645188880508652,Braço 1: PyMC Baseline
small_business,PyMC-Marketing - nutpie,x4_Email,Local,20.729309022467206,0.21743123738586573,0.9863402294088877,5242.441556480639,Braço 1: PyMC Baseline
small_business,Meridian,x1_Search-Ads,Local,220.62976027530314,0.3175501946127662,0.9253329340923464,38.26554206138857,Braço 2: Meridian Baseline
small_business,Meridian,x2_Social-Media,Local,49.60990873504978,0.9609910012974208,0.8133628107346416,2298.522182787011,Braço 2: Meridian Baseline
small_business,Meridian,x3_Local-Ads,Local,109.82887012528317,0.20978964195390223,0.9370697729661612,83.23206323385256,Braço 2: Meridian Baseline
small_business,Meridian,x4_Email,Local,-167.58933014997064,0.7816963113223657,0.8234467745636098,215.56691770107733,Braço 2: Meridian Baseline
small_business,PyMC-Marketing - nutpie,x1_Search-Ads,Local,-44.083097732952325,0.1340288575598998,0.9866984898310635,13.169933270533122,Braço 3: PyMC + CD-NOTS
small_business,PyMC-Marketing - nutpie,x2_Social-Media,Local,14.45229436853032,0.24330955685362682,0.9880359593774932,4936.211669012805,Braço 3: PyMC + CD-NOTS
small_business,PyMC-Marketing - nutpie,x3_Local-Ads,Local,-129.85767606772026,0.24290962921868217,0.9156314321190171,24.333628791885076,Braço 3: PyMC + CD-NOTS
small_business,PyMC-Marketing - nutpie,x4_Email,Local,23.787391423410114,0.21925171025841703,0.9861105352370302,5720.945056934113,Braço 3: PyMC + CD-NOTS
small_business,Meridian,x1_Search-Ads,Local,245.57391237475125,0.3427327293102381,0.9130207861276459,39.91045605660392,Braço 4: Meridian + CD-NOTS
small_business,Meridian,x2_Social-Media,Local,87.28122146142344,0.8976088765340907,0.8371702256962278,3178.1865739601244,Braço 4: Meridian + CD-NOTS
small_business,Meridian,x3_Local-Ads,Local,172.91496950691342,0.2949840091794344,0.8755805827600761,118.67344242363775,Braço 4: Meridian + CD-NOTS
small_business,Meridian,x4_Email,Local,-92.62801983788758,0.5807166891229043,0.9025620483714879,570.5273581024868,Braço 4: Meridian + CD-NOTS
