,precision,recall,f1,fdr,shd,tp,fp,fn,tn,runtime_seconds
granger,0.13541666665256077,0.9999999992307692,0.23853210794714252,0.8645833332432726,83.0,13.0,83.0,0.0,14.0,0.4688544640011969
pcmci_cmiknn,0.1874999998828125,0.23076923059171597,0.20689654663495852,0.8124999994921874,23.0,3.0,13.0,10.0,84.0,2966.562497124003
lpcmci,0.13636363630165288,0.23076923059171597,0.1714285666612246,0.8636363632438017,29.0,3.0,19.0,10.0,78.0,11.786783146999369
dynotears,0.06060606059687788,0.30769230745562126,0.10126582000961391,0.9393939392516071,71.0,4.0,62.0,9.0,35.0,0.07106845299858833
cdnots,0.12999999998700001,0.9999999992307692,0.23008849349831628,0.869999999913,87.0,13.0,87.0,0.0,10.0,0.08971005200146465
