,precision,recall,f1,fdr,shd,tp,fp,fn,tn,runtime_seconds
granger,0.7499999981250001,0.5999999988,0.6666666602469137,0.249999999375,3.0,3.0,1.0,2.0,14.0,0.060101003997260705
pcmci_cmiknn,0.6666666644444444,0.3999999992,0.49999999406250006,0.3333333322222222,4.0,2.0,1.0,3.0,14.0,316.25169996600016
lpcmci,0.49999999875,0.3999999992,0.4444444385185186,0.49999999875,5.0,2.0,2.0,3.0,13.0,0.37283149900031276
dynotears,0.3124999998046875,0.9999999980000001,0.4761904721088436,0.6874999995703125,11.0,5.0,11.0,0.0,4.0,0.16055877900362248
cdnots,0.3999999992,0.3999999992,0.39999999420000004,0.5999999988,6.0,2.0,3.0,3.0,12.0,192.88772152899764
regime_pcmci,0.249999999375,0.1999999996,0.2222222167901236,0.7499999981250001,7.0,1.0,3.0,4.0,12.0,205.47464702000434
cedar,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,15.0,12.228787465006462
rpcmci,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,15.0,7.609502295999846
